Corporation,ROE - Return On Equity,Net Profit Margin,Operating Cash Flow Per Share,Debt/Equity Ratio
Illinois Tool Works Inc.,15.1692,9.7496,-1.362,0.2997
Ingredion Incorporated,2.7582,1.1166,7.7616,0.3192
Intel Corp.,23.1924,26.2797,0.9518,0.0428
Interpublic Group of Cos. Inc.,7.1297,1.5581,1.0644,0.7675
Iridium Communications Inc.,3.0448,5.7273,1.6464,0.2403
JetBlue Airways Corporation,3.9457,1.853,1.4636,2.1371
Johnson & Johnson,23.5671,21.6507,-0.066,0.2965
Johnson (S.C.) & Son Inc.,23.5671,21.6507,-0.066,0.2965
Johnson Controls Inc.,5.1745,1.7098,-1.2091,0.1884
KB Home,-10.9781,-4.3628,-6.3068,2.8099
Kimberly-Clark Corp.,31.3286,9.3335,-1.7301,0.881
Kinross Gold Corp.,5.3563,12.8477,1.1279,0.1216
Koninklijke Philips N.V.,2.9059,1.8285,2.3192,0.2924
Lam Research Corp.,29.3034,22.3538,4.3099,0.3009
Lamar Advertising Co.,-4.8993,-3.7048,0.2967,2.9433
Louisiana-Pacific Corp.,-2.6441,-2.8187,-0.1901,0.5869
"M/I Homes, Inc.",-12.6802,-4.2618,-6.1071,0.9116
MGM Resorts International,-33.3731,-21.4901,1.5532,3.6316
Magellan Midstream Partners LP,21.2021,20.0313,-0.4195,1.2971
Marathon Oil Corporation,7.9172,21.9675,0.8351,0.3322
Martin Marietta Materials Inc.,6.0187,5.4318,7.2045,0.8897
MasTec Inc.,10.1246,4.2243,0.8807,0.6316
McCormick & Co. Inc.,23.566,11.0945,-0.133,0.6018
Merck Sharpe & Dohme Corp.,21.1792,46.8609,1.4923,0.2842
Meritage Homes Corporation,1.43,0.7593,-4.8645,1.2116
Meritor Inc.,-2.737,0.3399,6.4777,-1.0059
Methanex Corp.,0.0539,0.0609,1.2459,0.6677
Mobile TeleSystems PJSC,37.2508,12.2253,-0.0359,1.7226
Mohawk Industries Inc.,-0.0318,-0.1029,9.8201,0.5794
"Mondelez International, Inc.",1.8697,13.0649,-1.2422,0.7992
Moody's Corporation,-68.2939,22.3681,2.7073,-2.0025
Mosaic Co. (The),21.5531,25.3034,2.3865,0.0714
Motorola Solutions Inc.,2.3755,8.3104,0.4744,0.246
Mueller Water Products Inc.,-1.3323,-4.7098,-0.4847,1.7079
Murphy Oil Corp.,9.7176,4.9577,9.688,0.1842
NIKE Inc.,19.551,10.0295,0.717,0.0607
Nabors Industries Inc.,2.5612,-2.4218,282.1921,0.7605
National Fuel Gas Co.,12.5508,12.8323,-2.18,0.7154
New York Times Co. (The),0.2584,0.8151,1.6893,1.2667
Newell Brands Inc.,15.1246,5.1748,-0.1399,1.2432
NextEra Energy Inc.,12.4547,10.3241,2.7401,1.4567
Nokia Corp.,16.7809,0.6344,1.2169,0.3528
Norfolk Southern Corp.,14.0219,15.6368,2.3009,0.6584
Northrop Grumman Corp.,14.1709,7.2949,1.5492,0.3516
Nucor Corp.,-3.1272,-2.6412,3.7259,0.4072
O'Reilly Automotive Inc.,11.4488,6.344,2.0684,0.2944
Olin Corp.,16.5025,8.8606,2.5568,0.4845
Omnicom Group Inc.,23.7266,6.5354,-0.6758,0.8159
Open Text Corporation,11.8528,11.9232,0.1729,0.2863
Otter Tail Corporation,4.1591,-0.3032,-1.6405,0.793
PACCAR Inc.,2.1925,1.3838,3.7635,1.1899
PG&E Corp.,9.6497,7.9402,0.3055,1.1613
PLDT Inc.,46.2054,28.3031,0.8193,0.921
POSCO,11.6272,6.9555,-16.3563,0.5343
PPG Industries Inc.,22.9585,5.729,-0.1152,1.0621
Packaging Corp. of America,29.5819,12.3811,2.9908,0.7575
Peabody Energy Corp.,11.8001,7.6159,3.926,0.7328
Pearson PLC,9.2935,9.253,0.466,0.4125
PepsiCo Inc.,29.363,10.9167,0.9248,1.1593
PerkinElmer Inc.,4.5097,5.2929,1.2756,0.3428
Pioneer Natural Resources Co.,-3.8974,-4.0532,4.7563,0.7579
Pitney Bowes Inc.,-11258.21,7.6034,3.9748,-1408.522
Plains All American Pipeline L.P.,11.2399,1.2745,-0.4513,1.3026
Portland General Electric Co.,7.5672,7.0107,-0.1052,1.1426
Precision Drilling Corp.,9.0107,13.5033,35.5562,0.3001
Quest Diagnostics Inc.,19.1316,9.7798,5.3111,0.7746
Range Resources Corp.,3.9886,-24.9335,-0.4863,0.8816
Rockwell Automation Inc.,30.1561,9.5368,-0.266,0.6196
Rogers Communications Inc.,41.3665,12.5991,5.3724,1.9808
Royal Caribbean Cruises Ltd.,2.0332,2.589,3.9243,1.1227
"Ryman Hospitality Properties, Inc.",-8.9534,-11.5757,0.072,1.1257
SK Telecom Co. Ltd.,11.0206,8.4039,2.7505,0.4754
Sanofi,17.7419,17.8586,0.4173,0.155
Scholastic Corp.,7.3459,2.9617,2.4518,0.3717
Scotts Miracle-Gro Co. (The),27.1681,7.1041,0.3742,0.8263
Seagate Technology plc,59.0676,14.1202,2.0723,0.9185
Silgan Holdings Inc.,23.2455,5.198,2.0967,1.1657
Sinclair Broadcast Group Inc.,-48.1437,9.9197,0.5352,-7.7161
Snap-on Inc.,13.7425,7.1205,-3.5907,0.8337
Sonic Automotive Inc.,15.5028,0.521,7.2285,3.6325
Sonoco Products Co.,11.2373,4.211,3.8701,0.4207
Sony Corp.,4.4658,-3.4948,-2.6974,0.5984
Southwest Airlines Co.,7.3593,3.7921,0.7604,0.5419
Southwest Gas Corp.,8.8649,5.6752,-0.9092,1.0281
Stanley Black & Decker Inc.,11.2155,6.0908,6.6769,0.6876
Starbucks Corp.,25.7529,8.8313,0.1844,0.1492
Target Corp.,18.8545,4.333,-0.565,1.0154
Teleflex Incorporated,4.9053,14.3873,0.5636,0.5131
Telephone and Data Systems Inc.,4.2685,2.9036,0.1626,0.3362
Tenet Healthcare Corp.,62.8099,2.176,3.3512,6.132
Tenneco Inc.,180.0,0.6569,-0.9616,34.9429
Terex Corp.,-10.0171,8.1142,-5.217,0.7987
Thomson Reuters Corp.,4.3651,6.4938,3.5254,0.3932
Toll Brothers Inc.,-0.1318,-0.2257,-2.636,0.6686
"TreeHouse Foods, Inc.",9.2967,5.0037,3.5668,0.9994
Trinity Industries Inc.,3.7601,3.491,-3.5218,1.5754
Triton Container International Ltd.,13.474,15.7372,-0.0185,4.1323
Tupperware Brands Corporation,28.5642,9.807,0.737,0.5428
Unisys Corp.,-17.5734,5.8737,-2.3395,-0.8824
United Rentals Inc.,110.0,-1.1623,0.1887,-146.45
United States Cellular Corporation,4.496,3.2572,-0.3574,0.2452
Vail Resorts Inc.,4.4586,3.3957,-2.6827,0.6564
Valmont Industries Inc.,19.0449,8.4273,13.2953,0.2133
"Verisk Analytics, Inc.",-211.9431,21.3075,0.011,-7.336
Vishay Intertechnology Inc.,24.0653,13.1778,1.3101,0.2884
Vulcan Materials Co.,0.4619,1.1267,3.7933,0.6782
WEC Energy Group Inc.,10.533,9.3248,2.666,1.389
Williams Companies Inc. (The),3.3317,-16.5261,0.0985,1.1197
Worthington Industries Inc.,16.7454,4.7108,-0.4418,0.5174
Xcel Energy Inc.,9.4123,7.016,4.1845,1.2035
York Water Co. (The),9.7845,22.8919,-0.1826,0.9333
Yum! Brands Inc.,97.2172,9.8837,2.9068,2.9318
3M Company,27.4682,14.4642,0.2175,0.3257
AAR CORP.,19.7282,12.6549,1.0201,0.7681
ABB Ltd,17.609,8.1073,0.0689,0.1412
ABB Ltd.,17.609,8.1073,0.0689,0.1412
"ALLETE, Inc.",8.6723,10.1056,0.1601,0.8009
AMC Networks Inc.,-12.1854,10.6466,-0.2375,-2.2247
"Acadia Healthcare Company, Inc.",-34.4461,-16.1165,-1.5666,2.8793
"Advance Auto Parts, Inc.",46.5474,6.3792,3.111,0.4906
Advanced Micro Devices Inc.,31.1321,7.4756,1.0769,1.2679
"Advanced Micro Devices, Inc.",31.1321,7.4756,1.0769,1.2679
"Air Products and Chemicals, Inc.",19.7282,12.6549,1.0201,0.7681
Alere Inc.,26.2052,6.805,-17.6854,0.2671
"AllScripts Healthcare Solutions, Inc.",4.9846,5.0973,0.956,0.2493
Allegheny Technologies Incorporated,3.6959,1.7466,-1.9527,0.4993
Alliance Laundry Systems LLC,3.5196,8.8283,6.5081,3.4041
Alliant Energy Corporation,10.7128,8.8164,1.4784,0.8766
"Allison Transmission, Inc.",12.535,4.7623,0.4158,4.1117
"Alon USA Energy, Inc.",-42.5761,7.0423,0.2181,-1.6278
Amazon.com Inc.,8.1346,1.3125,0.8019,0.0329
Ameren Corporation,1.9153,1.8198,-1.2907,0.9814
America Movil S.A.B. de C.V.,30.4965,13.2505,0.9621,1.2874
"America Movil, S.A.B. de C.V.",30.4965,13.2505,0.9621,1.2874
"American Axle & Manufacturing Holdings, Inc.",-32.674,5.5242,-3.9722,-2.8127
"American Axle & Manufacturing, Inc.",-32.674,5.5242,-3.9722,-2.8127
American Electric Power Co. Inc.,10.7467,12.8407,2.301,1.2387
"American Electric Power Company, Inc.",10.7467,12.8407,2.301,1.2387
"American Water Works Company, Inc.",7.1988,11.6124,0.154,1.3926
"Ameriprise Financial, Inc",10.4209,10.3974,12.4344,0.731
"Amkor Technology, Inc.",36.4621,7.8756,0.9263,2.1428
Amphenol Corporation,24.2057,13.3051,0.22,0.6303
"Analog Devices, Inc.",22.6825,28.9777,-0.319,0.2335
Anheuser Busch InBev NV/SA,19.1422,14.8005,1.5877,0.9783
Anheuser-Busch InBev SA/NV,19.1422,14.8005,1.5877,0.9783
Apache Corporation,16.5094,26.6935,6.1471,0.2489
Archer Daniels Midland Co.,6.8358,1.3736,7.9248,0.568
Archer Daniels Midland Company,10.7124,2.5237,-7.7457,0.5478
Archer-Daniels-Midland Company,6.8358,1.3736,7.9248,0.568
Arcos Dorados Holdings Inc.,16.9993,3.166,1.1816,0.7795
"Armstrong World Industries, Inc.",9.9805,4.1276,0.1008,0.7459
"Arrow Electronics, Inc.",16.3068,2.7995,-0.8036,0.5337
"Asbury Automotive Group, Inc.",12.3302,1.0129,-3.0726,3.373
Ashland LLC,1.3543,6.3673,-3.9372,0.9267
Atmos Energy Corporation,8.4059,4.8432,-1.4309,1.0707
"AutoZone, Inc.",-60.1006,10.8134,1.2687,-2.4342
Avery Dennison Corporation,14.6928,5.4808,-0.9352,0.8125
"Avis Budget Group, Inc",-7.0388,-0.4915,2.056,21.284
Avista Corp.,8.731,6.1875,0.5465,1.1564
"Avnet, Inc.",16.4955,2.5215,2.0005,0.3739
BRF S.A.,10.2544,5.3103,-1.324,0.5708
Baidu Inc.,41.6923,45.6545,1.5828,0.1544
"Baidu, Inc.",41.6923,45.6545,1.5828,0.1544
"Baker Hughes, a GE company, LLC",10.9183,8.7691,1.2735,0.2549
Barrick Gold Corporation,16.5245,32.5607,7.1702,0.3129
Baxter International Inc.,20.9976,11.0566,0.3178,0.6455
"Beazer Homes USA, Inc.",-100.9094,-27.594,-17.9192,7.5049
"Becton, Dickinson and Company",24.8748,16.759,0.6306,0.5633
"Benchmark Electronics, Inc.",7.1262,3.3203,-1.8153,0.0102
Berry Global Group Inc.,64.0257,-6.5556,2.5622,-10.2594
"Big Lots Canada, Inc.",25.0425,4.0135,0.5758,0.0838
Black Hills Corporation,3.3378,3.909,1.8016,1.3461
Boise Cascade Company,-16.4048,-2.0623,-1.8144,0.7769
Booz Allen Hamilton Inc.,20.2462,4.0953,0.2317,0.8146
Boston Scientific Corporation,-9.4281,-13.6434,-0.3397,0.4814
Boyd Gaming Corporation,0.8998,0.4816,0.3058,2.5264
Braskem International Ltd,-18.139,-11.2067,3.3026,1.3353
Bright Horizons Family Solutions LLC,-2.3113,-6.9922,10.5268,-3.8794
"Brinker International, Inc.",32.1387,5.1083,-0.07,1.1954
Bristol-Myers Squibb Company,33.1506,17.4214,0.2184,0.3461
British American Tobacco p.l.c.,36.5999,21.0979,0.6806,1.0735
British American Tobacco plc.,36.5999,21.0979,0.6806,1.0735
Burlington Resources Finance Co.,5.6533,-3.3322,-3.6702,-14.5398
Burlington Resources Finance Company,5.6533,-3.3322,-3.6702,-14.5398
"CSG Systems International, Inc.",9.4606,4.0826,-0.8073,1.5804
CSX Corporation,21.8942,15.7185,0.1267,1.0913
CVR Energy Inc.,29.1297,6.876,0.5757,0.6646
CVS Health,9.1693,3.2331,0.8768,0.2632
Cabot Corp.,12.6856,7.5113,-0.8908,0.4325
Cabot Corporation,12.6856,7.5113,-0.8908,0.4325
"Calumet Specialty Products Partners, L.P.",6.0993,1.3366,-2.2985,0.8054
Campbell Soup Company,68.3394,11.2698,0.3895,2.8139
Canadian National Railway Company,20.1264,27.2153,0.2167,0.6157
Canadian Natural Resources Limited,10.979,17.0439,0.1293,0.3743
Canon Inc.,8.777,6.8171,2.0604,0.004
"Cardinal Health, Inc.",16.5156,0.9343,-1.9596,0.4278
Carlisle Companies Incorporated,11.4659,7.234,1.3157,0.5082
Carpenter Technology Corporation,9.2397,4.1908,-1.1584,0.6544
"Carriage Services, Inc.",4.8983,3.7948,0.262,1.8107
"Carrols Restaurant Group, Inc.",-0.8858,3.228,0.0655,4.7092
Casella Waste Systems Inc.,-426.2137,-16.58,0.5523,26.1513
"Casella Waste Systems, Inc.",-426.2137,-16.58,0.5523,26.1513
Cedar Fair L.P.,47.8885,6.3487,0.6117,11.4146
Centene Corporation,11.8413,2.1319,-0.5629,0.4148
Central Garden & Pet Company,6.2135,1.739,-1.177,0.9536
Century Aluminum Company,1.0908,0.8349,-1.4413,0.2478
"Charter Communications Operating, LLC",-90.2201,-5.1222,-1.2142,31.4328
"Cisco Systems, Inc.",13.7328,15.0169,0.0722,0.356
Clearwater Paper Corporation,8.1818,2.0578,-4.9853,1.08
Cleveland-Cliffs Inc.,25.4627,24.6667,6.5352,0.5232
Coca-Cola European Partners US LLC,19.8536,9.294,2.4265,0.7273
"Coca-Cola FEMSA, S.A.B. de C.V.",11.3655,8.9597,-0.3925,0.224
"Coca-cola European Partners US, LLC",19.8536,9.294,2.4265,0.7273
"Coeur Mining, Inc.",4.3758,9.1558,2.7393,0.1778
Colfax Corporation,2.4066,0.6569,-0.1279,0.5892
Columbus McKinnon Corporation,16.1498,4.5557,1.0366,0.9541
Comcast Corporation,10.8215,7.4496,0.5998,0.8249
"Commercial Vehicle Group, Inc.",145.5185,2.2361,-0.3741,19.5695
"Community Health Systems, Inc.",13.6296,1.6962,1.1287,3.5897
Companhia de Saneamento Basico do Estado de Sao Paulo (SABESP),10.6074,12.3059,0.6462,0.8515
"Compass Minerals International, Inc",33.3632,13.2676,7.6608,1.0808
"Comstock Resources, Inc.",-3.2258,-7.7059,-4.2624,1.1535
Conagra Brands Inc.,10.3153,3.4986,-0.5988,0.6474
"Conagra Brands, Inc.",10.3153,3.4986,-0.5988,0.6474
ConocoPhillips Company,10.9325,18.8228,2.732,0.3441
Consolidated Communications Finance Co.,50.799,7.5673,0.4367,18.504
Consolidated Communications Inc.,50.799,7.5673,0.4367,18.504
"Consolidated Communications, Inc.",50.799,7.5673,0.4367,18.504
"Constellation Brands, Inc.",16.6293,16.7653,0.7664,1.1695
Container Store Inc. (The),-13.1644,-17.2416,14.3939,1.3358
Corning Incorporated,13.3324,35.7034,-0.4112,0.1132
Costco Wholesale Corp.,12.2644,1.6443,0.9838,0.1712
Costco Wholesale Corporation,12.2644,1.6443,0.9838,0.1712
Crown Castle International Corp.,-12.7305,-17.6587,0.1112,2.4547
"Crown Holdings, Inc.",-165.6904,3.2624,-1.1767,-14.7782
"D. R. Horton, Inc.",2.7368,1.9743,-2.1673,0.6497
"DTE Energy Center, LLC",10.251,8.0266,1.013,1.153
DXC Technology Company,-26.9584,-4.1982,-2.4004,0.9668
DaVita Inc.,26.0706,7.1006,2.0384,1.9862
Danaher Corporation,12.4754,14.2869,0.3686,0.2051
"Darden Restaurants, Inc.",15.1574,8.9261,-2.5219,1.1513
Darling Ingredients Inc.,18.4075,9.4265,1.1058,0.3043
Delta Air Lines,-61.1748,2.432,-0.0016,-9.8789
"Delta Air Lines, Inc. (Old)",-61.1748,2.432,-0.0016,-9.8789
Deluxe Corporation,67.459,10.827,0.0887,3.3383
Dentsply Sirona Inc.,13.133,9.6354,0.1553,0.9377
Devon Energy Corporation,9.958,41.1009,2.3258,0.4564
"Douglas Dynamics, L.L.C.",11.6532,9.0073,1.3699,0.7524
Dover Corporation,15.6815,12.1485,0.6343,0.4436
Duke Energy Corp.,5.827,9.2489,2.2229,0.8134
Duke Energy Corporation,5.827,9.2489,2.2229,0.8134
"EMCOR Group, Inc.",10.006,2.3306,1.1381,0.1244
EOG Resources Canada Inc.,8.6317,10.7753,3.276,0.3963
"EOG Resources, Inc.",8.6317,10.7753,3.276,0.3963
Eastman Chemical Co,25.6915,7.2749,-1.2731,0.9859
Eastman Kodak Company (DIP),31.4468,-21.311,-2.9934,-0.6447
Edgewell Personal Care Co.,12.4304,5.6224,-3.3862,1.1272
Edison International,10.9377,-0.3495,1.3039,0.8356
Edison Mission Energy,10.006,2.3306,1.1381,0.1244
Eli Lilly and Company,40.8409,21.9687,2.2535,0.558
Embraer Overseas Limited,6.3057,2.0748,-2.1754,0.6802
Emerson Electric Company,23.7324,10.2386,-0.0581,0.4929
Endo Health Solutions Inc.,9.5293,7.4305,1.948,1.7222
Enel Americas S.A.,6.6253,13.352,2.6804,0.5718
Entergy Corporation,15.2587,11.9907,-3.363,1.3679
"Enterprise Products Operating, LLC",17.0902,4.6192,-2.1927,1.1891
Entravision Communications Corporation,1461.743,-4.2182,-0.2323,-676.7593
"Equinix, Inc.",1.9257,3.0831,-0.1924,1.0894
Exelon Corporation,17.3686,13.0882,-0.6118,0.9317
"Expedia, Inc.",14.1569,13.6936,1.7496,0.5419
Express LLC,50.0439,6.7628,-0.1645,0.7062
FMC Corporation,18.3737,5.5354,0.3688,0.5364
"FMC Technologies, Inc.",9.3928,6.6317,-0.0938,0.7204
FTI Consulting Inc.,9.3928,6.6317,-0.0938,0.7204
"FTI Consulting, Inc.",9.3928,6.6317,-0.0938,0.7204
Ferro Corporation,0.5078,0.1989,-1.6846,0.531
Fidelity National Information Services Inc.,5.9391,7.8611,0.0606,0.7913
"Fiesta Restaurant Group, Inc.",-204.2166,2.0088,0.4593,-69.3551
"Fiserv, Inc.",15.6705,12.001,0.2114,1.0393
Flex Ltd.,22.801,1.6657,0.0201,0.9583
"Flowers Foods, Inc.",17.2215,5.3248,0.3457,0.16
Flowserve Corporation,18.8406,9.5025,-0.8056,0.2218
Fluor Corporation,20.1765,2.5393,2.0532,0.154
Freeport-McMoRan Oil & Gas LLC,30.9761,21.8391,0.3218,0.1906
Gap Inc. (The),30.2359,5.7255,-0.1635,0.6044
"Gap, Inc. (The)",30.2359,5.7255,-0.1635,0.6044
General Cable Corporation,9.2501,1.3748,0.4748,0.8332
"General Mills Canada, Inc.",23.0883,9.4087,1.3075,1.0795
Gerdau S.A.,7.9095,5.6648,-1.0323,0.516
Glatfelter (P.H.) Co.,9.8533,3.7131,0.0429,0.6028
GlaxoSmithKline Capital PLC,65.8737,6.5265,-0.6309,1.5495
Gold Fields Limited,17.3846,16.4308,1.5435,0.326
Google Inc.,16.7461,25.6879,5.1162,0.0723
Google LLC,16.7461,25.6879,5.1162,0.0723
"Gray Television, Inc.",7.3483,0.5844,-0.0335,5.631
"Great Atlantic & Pacific Tea Co., Inc.(The)",30.2359,5.7255,-0.1635,0.6044
Great Lakes Dredge & Dock Corporation,5.582,3.1776,-1.6836,0.8735
"Greif, Inc.",13.233,4.1123,-0.1168,1.1334
Griffon Corporation,-1.1399,-0.4059,-0.785,1.0943
Grifols S.A.,8.6908,2.797,0.5512,1.7775
Gulfport Energy Corporation,17.1459,47.2934,1.2742,0.0036
H&E Equipment Services Inc.,3.3784,1.2388,1.2135,1.0169
"H&E Equipment Services, Inc.",3.3784,1.2388,1.2135,1.0169
